kind	class	method	param	index	uri
PARAMETER	io.micronaut.context.DefaultBeanContext	DefaultBeanContext(java.lang.ClassLoader)	classLoader	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext$1	getClassLoader()	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	DefaultBeanContext(io.micronaut.core.io.scan.ClassPathResourceLoader)	resourceLoader	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext$2	getClassLoader()	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	DefaultBeanContext(io.micronaut.context.BeanContextConfiguration)	contextConfiguration	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext	createCustomScopeRegistry()	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext	getCustomScopeRegistry()	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	trackDisabledComponent(io.micronaut.context.condition.ConditionContext)	conditionContext	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext	resolveMetadata(java.lang.Class)	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	refreshBean(io.micronaut.context.BeanRegistration)	beanRegistration	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	registerSingleton(java.lang.Class,T,io.micronaut.context.Qualifier,boolean)	type	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	registerSingleton(java.lang.Class,T,io.micronaut.context.Qualifier,boolean)	singleton	1	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext	newResolutionContext(io.micronaut.inject.BeanDefinition,io.micronaut.context.BeanResolutionContext)	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	containsBean(java.lang.Class,io.micronaut.context.Qualifier)	beanType	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	getBean(java.lang.Class,io.micronaut.context.Qualifier)	beanType	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext	getBean(java.lang.Class,io.micronaut.context.Qualifier)	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
PARAMETER	io.micronaut.context.DefaultBeanContext	getBean(java.lang.Class)	beanType	0	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
METHOD	io.micronaut.context.DefaultBeanContext	getBean(java.lang.Class)	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
