kind	class	method	param	index	uri
PARAMETER	io.micronaut.http.client.StreamingHttpClientRegistry	resolveStreamingHttpClient(io.micronaut.inject.InjectionPoint,io.micronaut.http.client.LoadBalancer,io.micronaut.http.client.HttpClientConfiguration,io.micronaut.context.BeanContext)	beanContext	3	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClientRegistry.java
METHOD	io.micronaut.http.client.StreamingHttpClientRegistry	resolveStreamingHttpClient(io.micronaut.inject.InjectionPoint,io.micronaut.http.client.LoadBalancer,io.micronaut.http.client.HttpClientConfiguration,io.micronaut.context.BeanContext)	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClientRegistry.java
PARAMETER	io.micronaut.http.client.StreamingHttpClientRegistry	getStreamingHttpClient(io.micronaut.core.annotation.AnnotationMetadata)	annotationMetadata	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClientRegistry.java
METHOD	io.micronaut.http.client.StreamingHttpClientRegistry	getStreamingHttpClient(io.micronaut.core.annotation.AnnotationMetadata)	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClientRegistry.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	dataStream(io.micronaut.http.HttpRequest)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	dataStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	dataStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument)	errorType	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	exchangeStream(io.micronaut.http.HttpRequest)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	exchangeStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	exchangeStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument)	errorType	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument)	type	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument,io.micronaut.core.type.Argument)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument,io.micronaut.core.type.Argument)	type	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument,io.micronaut.core.type.Argument)	errorType	2	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest,java.lang.Class)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	jsonStream(io.micronaut.http.HttpRequest,java.lang.Class)	type	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.StreamingHttpClient	create(java.net.URL,io.micronaut.http.client.HttpClientConfiguration)	configuration	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/StreamingHttpClient.java
PARAMETER	io.micronaut.http.client.HttpClient	exchange(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument,io.micronaut.core.type.Argument)	request	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/HttpClient.java
PARAMETER	io.micronaut.http.client.HttpClient	exchange(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument,io.micronaut.core.type.Argument)	bodyType	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/HttpClient.java
PARAMETER	io.micronaut.http.client.HttpClient	exchange(io.micronaut.http.HttpRequest,io.micronaut.core.type.Argument,io.micronaut.core.type.Argument)	errorType	2	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client-core/src/main/java/io/micronaut/http/client/HttpClient.java
