kind	class	method	param	index	uri
PARAMETER	io.micronaut.json.tree.JsonArray	get(java.lang.String)	fieldName	0	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
METHOD	io.micronaut.json.tree.JsonArray	values()	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
METHOD	io.micronaut.json.tree.JsonArray	entries()	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
METHOD	io.micronaut.json.tree.JsonNode	from(java.lang.Object)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	nullNode()	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
PARAMETER	io.micronaut.json.tree.JsonNode	createArrayNode(java.util.List)	nodes	0	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	createArrayNode(java.util.List)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	createObjectNode(java.util.Map)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	createBooleanNode(boolean)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
PARAMETER	io.micronaut.json.tree.JsonNode	createStringNode(java.lang.String)	value	0	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	createStringNode(java.lang.String)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	createNumberNode(int)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	createNumberNode(long)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
PARAMETER	io.micronaut.json.tree.JsonNode	createNumberNode(java.math.BigDecimal)	value	0	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
METHOD	io.micronaut.json.tree.JsonNode	createNumberNode(java.math.BigDecimal)	null	null	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
