kind	class	method	param	index	uri
METHOD	io.micronaut.context.visitor.ConfigurationReaderVisitor	getVisitorKind()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/context/visitor/ConfigurationReaderVisitor.java
METHOD	io.micronaut.inject.visitor.TypeElementVisitor	getVisitorKind()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/TypeElementVisitor.java
METHOD	io.micronaut.inject.configuration.ConfigurationUtils	computeIterablePrefix(io.micronaut.core.annotation.AnnotationMetadata,java.lang.String)	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/configuration/ConfigurationUtils.java
METHOD	io.micronaut.inject.configuration.ConfigurationMetadataBuilder	getOriginatingElements()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/configuration/ConfigurationMetadataBuilder.java
PARAMETER	io.micronaut.inject.configuration.ConfigurationMetadataBuilder	resolveJavadocDescription(io.micronaut.inject.ast.Element)	element	0	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/configuration/ConfigurationMetadataBuilder.java
METHOD	io.micronaut.inject.visitor.VisitorContext	getElementFactory()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
METHOD	io.micronaut.inject.visitor.VisitorContext	getElementAnnotationMetadataFactory()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
METHOD	io.micronaut.inject.visitor.VisitorContext	getExpressionCompilationContextFactory()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
METHOD	io.micronaut.inject.visitor.VisitorContext	getAnnotationMetadataBuilder()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
METHOD	io.micronaut.inject.visitor.VisitorContext	getConfiguration()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
PARAMETER	io.micronaut.inject.visitor.VisitorContext	getClasspathResources(java.lang.String)	path	0	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
METHOD	io.micronaut.inject.visitor.VisitorContext	getClasspathResources(java.lang.String)	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
PARAMETER	io.micronaut.inject.visitor.VisitorContext	getClassElements(java.lang.String,java.lang.String[])	aPackage	0	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
PARAMETER	io.micronaut.inject.visitor.VisitorContext	getClassElements(java.lang.String,java.lang.String[])	stereotypes	1	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
METHOD	io.micronaut.inject.visitor.VisitorContext	getClassElements(java.lang.String,java.lang.String[])	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/visitor/VisitorContext.java
METHOD	io.micronaut.inject.writer.BeanDefinitionVisitor	getTypeArgumentMap()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/writer/BeanDefinitionVisitor.java
METHOD	io.micronaut.inject.writer.BeanDefinitionVisitor	getBeanDefinitionReferenceClassName()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/writer/BeanDefinitionVisitor.java
METHOD	io.micronaut.inject.writer.BeanDefinitionVisitor	getTypeArguments()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/writer/BeanDefinitionVisitor.java
METHOD	io.micronaut.inject.ast.ClassElement	getTypeAnnotationMetadata()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getPrimaryConstructor()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getAccessibleConstructors()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getAccessibleStaticCreators()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getType()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getBeanProperties()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getSyntheticBeanProperties()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
PARAMETER	io.micronaut.inject.ast.ClassElement	getBeanProperties(io.micronaut.inject.ast.PropertyElementQuery)	propertyElementQuery	0	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getBeanProperties(io.micronaut.inject.ast.PropertyElementQuery)	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getFields()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	findField(java.lang.String)	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getMethods()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	findMethod(java.lang.String)	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
PARAMETER	io.micronaut.inject.ast.ClassElement	getEnclosedElements(io.micronaut.inject.ast.ElementQuery)	query	0	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getEnclosedElements(io.micronaut.inject.ast.ElementQuery)	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
PARAMETER	io.micronaut.inject.ast.ClassElement	getEnclosedElement(io.micronaut.inject.ast.ElementQuery)	query	0	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getBoundGenericTypes()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getDeclaredGenericPlaceholders()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
METHOD	io.micronaut.inject.ast.ClassElement	getRawClassElement()	null	null	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
PARAMETER	io.micronaut.inject.ast.ClassElement	withBoundGenericTypes(java.util.List)	typeArguments	0	/Users/nima/Developer/micronaut-core/core-processor/src/main/java/io/micronaut/inject/ast/ClassElement.java
