id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	io.micronaut.http.netty.configuration.NettyGlobalConfiguration	setResourceLeakDetectorLevel(io.netty.util.ResourceLeakDetector.Level)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/configuration/NettyGlobalConfiguration.java
2	io.micronaut.http.netty.configuration.NettyGlobalConfiguration	getResourceLeakDetectorLevel()	0	[]	io.micronaut.core.annotation.Nullable,io.micronaut.core.annotation.Nullable	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/configuration/NettyGlobalConfiguration.java
3	io.micronaut.http.netty.websocket.NettyWebSocketSession	NettyWebSocketSession(java.lang.String,io.netty.channel.Channel,io.micronaut.http.HttpRequest,io.micronaut.http.codec.MediaTypeCodecRegistry,java.lang.String,boolean)	0	[false, false, false, false, false, false]		protected	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
4	io.micronaut.http.netty.websocket.NettyWebSocketSession	getId()	5	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
6	io.micronaut.http.netty.websocket.NettyWebSocketSession	getAttributes()	7	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
8	io.micronaut.http.netty.websocket.NettyWebSocketSession	isOpen()	9	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
10	io.micronaut.http.netty.websocket.NettyWebSocketSession	isWritable()	11	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
12	io.micronaut.http.netty.websocket.NettyWebSocketSession	isSecure()	13	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
14	io.micronaut.http.netty.websocket.NettyWebSocketSession	getOpenSessions()	15	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
16	io.micronaut.http.netty.websocket.NettyWebSocketSession	getRequestURI()	17	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
18	io.micronaut.http.netty.websocket.NettyWebSocketSession	getRequestParameters()	19	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
20	io.micronaut.http.netty.websocket.NettyWebSocketSession	getProtocolVersion()	21	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
22	io.micronaut.http.netty.websocket.NettyWebSocketSession	sendAsync(T,io.micronaut.http.MediaType)	23	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
24	io.micronaut.http.netty.websocket.NettyWebSocketSession	sendSync(java.lang.Object,io.micronaut.http.MediaType)	25	[false, false]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
26	io.micronaut.http.netty.websocket.NettyWebSocketSession	send(T,io.micronaut.http.MediaType)	27	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
28	io.micronaut.http.netty.websocket.NettyWebSocketSession	sendPingAsync(byte[])	29	[false]	io.micronaut.core.annotation.NonNull,java.lang.Override,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
30	io.micronaut.http.netty.websocket.NettyWebSocketSession	close()	31	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
32	io.micronaut.http.netty.websocket.NettyWebSocketSession	close(io.micronaut.websocket.CloseReason)	33	[false]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
34	io.micronaut.http.netty.websocket.NettyWebSocketSession	toString()	35	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
36	io.micronaut.http.netty.websocket.NettyWebSocketSession	put(java.lang.CharSequence,java.lang.Object)	37	[false, true]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
38	io.micronaut.http.netty.websocket.NettyWebSocketSession	remove(java.lang.CharSequence)	39	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
40	io.micronaut.http.netty.websocket.NettyWebSocketSession	clear()	41	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
42	io.micronaut.http.netty.websocket.NettyWebSocketSession	names()	43	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
44	io.micronaut.http.netty.websocket.NettyWebSocketSession	values()	45	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
46	io.micronaut.http.netty.websocket.NettyWebSocketSession	get(java.lang.CharSequence,io.micronaut.core.convert.ArgumentConversionContext)	47	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
