kind	class	method	param	index	uri
PARAMETER	io.micronaut.http.netty.websocket.NettyWebSocketSession	sendPingAsync(byte[])	content	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
METHOD	io.micronaut.http.netty.websocket.NettyWebSocketSession	sendPingAsync(byte[])	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/websocket/NettyWebSocketSession.java
METHOD	io.micronaut.http.netty.NettyMutableHttpResponse	toFullHttpResponse()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyMutableHttpResponse.java
METHOD	io.micronaut.http.netty.NettyMutableHttpResponse	toStreamHttpResponse()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyMutableHttpResponse.java
METHOD	io.micronaut.http.netty.NettyMutableHttpResponse	toHttpResponse()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyMutableHttpResponse.java
METHOD	io.micronaut.http.netty.NettyHttpResponseBuilder	toFullHttpResponse()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpResponseBuilder.java
METHOD	io.micronaut.http.netty.NettyHttpResponseBuilder	toStreamHttpResponse()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpResponseBuilder.java
METHOD	io.micronaut.http.netty.NettyHttpResponseBuilder	toHttpResponse()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpResponseBuilder.java
PARAMETER	io.micronaut.http.netty.NettyHttpResponseBuilder	toHttpResponse(io.micronaut.http.HttpResponse)	response	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpResponseBuilder.java
METHOD	io.micronaut.http.netty.NettyHttpResponseBuilder	toHttpResponse(io.micronaut.http.HttpResponse)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpResponseBuilder.java
PARAMETER	io.micronaut.http.netty.NettyHttpResponseBuilder	toStreamResponse(io.micronaut.http.HttpResponse)	response	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpResponseBuilder.java
METHOD	io.micronaut.http.netty.NettyHttpResponseBuilder	toStreamResponse(io.micronaut.http.HttpResponse)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpResponseBuilder.java
PARAMETER	io.micronaut.http.netty.body.CustomizableNettyJsonHandler	customize(io.micronaut.json.JsonFeatures)	jsonFeatures	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/CustomizableNettyJsonHandler.java
METHOD	io.micronaut.http.netty.body.CustomizableNettyJsonHandler	customize(io.micronaut.json.JsonFeatures)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/CustomizableNettyJsonHandler.java
PARAMETER	io.micronaut.http.netty.body.NettyBodyWriter	writeTo(io.micronaut.http.HttpRequest,io.micronaut.http.MutableHttpResponse,io.micronaut.core.type.Argument,io.micronaut.http.MediaType,T,io.micronaut.http.netty.body.NettyWriteContext)	request	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyBodyWriter.java
PARAMETER	io.micronaut.http.netty.body.NettyBodyWriter	writeTo(io.micronaut.http.HttpRequest,io.micronaut.http.MutableHttpResponse,io.micronaut.core.type.Argument,io.micronaut.http.MediaType,T,io.micronaut.http.netty.body.NettyWriteContext)	outgoingResponse	1	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyBodyWriter.java
PARAMETER	io.micronaut.http.netty.body.NettyBodyWriter	writeTo(io.micronaut.http.HttpRequest,io.micronaut.http.MutableHttpResponse,io.micronaut.core.type.Argument,io.micronaut.http.MediaType,T,io.micronaut.http.netty.body.NettyWriteContext)	type	2	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyBodyWriter.java
PARAMETER	io.micronaut.http.netty.body.NettyBodyWriter	writeTo(io.micronaut.http.HttpRequest,io.micronaut.http.MutableHttpResponse,io.micronaut.core.type.Argument,io.micronaut.http.MediaType,T,io.micronaut.http.netty.body.NettyWriteContext)	mediaType	3	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyBodyWriter.java
PARAMETER	io.micronaut.http.netty.body.NettyBodyWriter	writeTo(io.micronaut.http.HttpRequest,io.micronaut.http.MutableHttpResponse,io.micronaut.core.type.Argument,io.micronaut.http.MediaType,T,io.micronaut.http.netty.body.NettyWriteContext)	object	4	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyBodyWriter.java
PARAMETER	io.micronaut.http.netty.body.NettyBodyWriter	writeTo(io.micronaut.http.HttpRequest,io.micronaut.http.MutableHttpResponse,io.micronaut.core.type.Argument,io.micronaut.http.MediaType,T,io.micronaut.http.netty.body.NettyWriteContext)	nettyContext	5	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyBodyWriter.java
METHOD	io.micronaut.http.netty.body.NettyBodyWriter	writeTo(io.micronaut.http.HttpRequest,io.micronaut.http.MutableHttpResponse,io.micronaut.core.type.Argument,io.micronaut.http.MediaType,T,io.micronaut.http.netty.body.NettyWriteContext)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyBodyWriter.java
METHOD	io.micronaut.http.netty.body.NettyWriteContext	alloc()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeFull(io.netty.handler.codec.http.FullHttpResponse)	response	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeFull(io.netty.handler.codec.http.FullHttpResponse,boolean)	response	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeStreamed(io.netty.handler.codec.http.HttpResponse,org.reactivestreams.Publisher)	response	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeStreamed(io.netty.handler.codec.http.HttpResponse,org.reactivestreams.Publisher)	content	1	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeChunked(io.netty.handler.codec.http.HttpResponse,io.netty.handler.codec.http.HttpChunkedInput)	response	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeChunked(io.netty.handler.codec.http.HttpResponse,io.netty.handler.codec.http.HttpChunkedInput)	chunkedInput	1	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeFile(io.netty.handler.codec.http.HttpResponse,java.io.RandomAccessFile,long,long)	response	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.body.NettyWriteContext	writeFile(io.netty.handler.codec.http.HttpResponse,java.io.RandomAccessFile,long,long)	randomAccessFile	1	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/body/NettyWriteContext.java
PARAMETER	io.micronaut.http.netty.NettyTlsUtils	storeToFactory(io.micronaut.http.ssl.SslConfiguration,java.security.KeyStore)	ssl	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyTlsUtils.java
METHOD	io.micronaut.http.netty.NettyTlsUtils	storeToFactory(io.micronaut.http.ssl.SslConfiguration,java.security.KeyStore)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyTlsUtils.java
METHOD	io.micronaut.http.netty.channel.DefaultEventLoopGroupFactory	serverSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.DefaultEventLoopGroupFactory	domainServerSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.DefaultEventLoopGroupFactory	clientSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.DefaultEventLoopGroupFactory	clientSocketChannelInstance(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	serverSocketChannelClass()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	domainServerSocketChannelClass()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	channelClass(io.micronaut.http.netty.channel.NettyChannelType)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	serverSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	domainServerSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	channelClass(io.micronaut.http.netty.channel.NettyChannelType,io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	serverSocketChannelInstance(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	domainServerSocketChannelInstance(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	channelInstance(io.micronaut.http.netty.channel.NettyChannelType,io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	clientSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupFactory	clientSocketChannelInstance(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.NioEventLoopGroupFactory	clientSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/NioEventLoopGroupFactory.java
PARAMETER	io.micronaut.http.netty.channel.ChannelPipelineListener	onConnect(io.netty.channel.ChannelPipeline)	pipeline	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/ChannelPipelineListener.java
METHOD	io.micronaut.http.netty.channel.ChannelPipelineListener	onConnect(io.netty.channel.ChannelPipeline)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/ChannelPipelineListener.java
METHOD	io.micronaut.http.netty.channel.IoUringEventLoopGroupFactory	serverSocketChannelInstance(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/IoUringEventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.IoUringEventLoopGroupFactory	clientSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/IoUringEventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.DefaultEventLoopGroupRegistry	getDefaultEventLoopGroup()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupRegistry.java
PARAMETER	io.micronaut.http.netty.channel.DefaultEventLoopGroupRegistry	getEventLoopGroup(java.lang.String)	name	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupRegistry.java
PARAMETER	io.micronaut.http.netty.channel.DefaultEventLoopGroupRegistry	getEventLoopGroupConfiguration(java.lang.String)	name	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupRegistry.java
PARAMETER	io.micronaut.http.netty.channel.EventLoopGroupRegistry	getEventLoopGroup(java.lang.String)	name	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupRegistry.java
METHOD	io.micronaut.http.netty.channel.EventLoopGroupRegistry	getDefaultEventLoopGroup()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupRegistry.java
PARAMETER	io.micronaut.http.netty.channel.EventLoopGroupRegistry	getEventLoopGroupConfiguration(java.lang.String)	name	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EventLoopGroupRegistry.java
METHOD	io.micronaut.http.netty.channel.DefaultEventLoopGroupConfiguration	getName()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/DefaultEventLoopGroupConfiguration.java
METHOD	io.micronaut.http.netty.channel.EpollEventLoopGroupFactory	serverSocketChannelInstance(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EpollEventLoopGroupFactory.java
METHOD	io.micronaut.http.netty.channel.EpollEventLoopGroupFactory	clientSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/EpollEventLoopGroupFactory.java
PARAMETER	io.micronaut.http.netty.channel.ChannelPipelineCustomizer	doOnConnect(io.micronaut.http.netty.channel.ChannelPipelineListener)	listener	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/ChannelPipelineCustomizer.java
METHOD	io.micronaut.http.netty.channel.KQueueEventLoopGroupFactory	clientSocketChannelClass(io.micronaut.http.netty.channel.EventLoopGroupConfiguration)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/channel/KQueueEventLoopGroupFactory.java
PARAMETER	io.micronaut.http.netty.AbstractCompositeCustomizer	specializeForChannel(io.netty.channel.Channel,R)	channel	0	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/AbstractCompositeCustomizer.java
PARAMETER	io.micronaut.http.netty.AbstractCompositeCustomizer	specializeForChannel(io.netty.channel.Channel,R)	role	1	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/AbstractCompositeCustomizer.java
METHOD	io.micronaut.http.netty.AbstractCompositeCustomizer	specializeForChannel(io.netty.channel.Channel,R)	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/AbstractCompositeCustomizer.java
METHOD	io.micronaut.http.netty.NettyHttpRequestBuilder	toFullHttpRequest()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpRequestBuilder.java
METHOD	io.micronaut.http.netty.NettyHttpRequestBuilder	toStreamHttpRequest()	null	null	/Users/nima/Developer/micronaut-core/http-netty/src/main/java/io/micronaut/http/netty/NettyHttpRequestBuilder.java
