kind	class	method	param	index	uri
METHOD	io.micronaut.http.client.netty.ConnectionManager	getChannels()	null	null	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$1	initChannel(io.netty.channel.Channel)	ch	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$2	initChannel(io.netty.handler.codec.http2.Http2StreamChannel)	ch	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$3	initChannel(io.netty.handler.codec.http2.Http2StreamChannel)	ch	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$4	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	ctx	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$4	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	msg	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$5	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	ctx	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$5	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	msg	1	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$AdaptiveAlpnChannelInitializer	initChannel(io.netty.channel.Channel)	ch	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$Http2UpgradeInitializer	initChannel(io.netty.channel.Channel)	ch	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$Http2UpgradeInitializer$1	initChannel(io.netty.channel.Channel)	ch	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$Http2UpgradeInitializer$2	channelActive(io.netty.channel.ChannelHandlerContext)	ctx	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$Pool$2	initChannel(io.netty.channel.Channel)	ch	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$Pool$2$1	channelActive(io.netty.channel.ChannelHandlerContext)	ctx	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
PARAMETER	io.micronaut.http.client.netty.ConnectionManager$Pool$ConnectionHolder$3	channelInactive(io.netty.channel.ChannelHandlerContext)	ctx	0	/home/nima/Developer/taint-benchmarks/micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java
